Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
SVM,Silvercorp Metals Inc.,2.61,$437.65M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/svm
XPL,Solitario Zinc Corp.,0.41,$23.94M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/xpl
SCE^B,Southern California Edison Company,21.13,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^b
SCE^C,Southern California Edison Company,22,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^c
SCE^D,Southern California Edison Company,21.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^d
SCE^E,Southern California Edison Company,24.22,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/sce^e
SGB,Southwest Georgia Financial Corporation,21.8,$55.5M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sgb
LOV,"Spark Networks, Inc.",12.89,$166.7M,2017,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lov
SRCI,SRC Energy Inc.,10.88,$2.63B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/srci
SDI,Standard Diversified Inc.,17.2,$285.71M,n/a,Consumer Non-Durables,Tobacco,https://www.nasdaq.com/symbol/sdi
SSY,"SunLink Health Systems, Inc.",1.408,$10.44M,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ssy
SDPI,"Superior Drilling Products, Inc.",1.7,$41.71M,2014,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/sdpi
SYN,"Synthetic Biologics, Inc",0.2066,$26.56M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/syn
TKAT,"Takung Art Co., Ltd.",1.3537,$15.17M,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/tkat
TALO.WS,"Talos Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/talo.ws
TRX,Tanzanian Royalty Exploration Corporation,0.4222,$51.86M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/trx
TGB,Taseko Mines Limited,0.9304,$212.2M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/tgb
TIK,Tel-Instrument Electronics Corp.,2.7753,$9.04M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/tik
TGC,"Tengasco, Inc.",1.03,$10.94M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tgc
GLU,The Gabelli Global Utility and Income Trust,18.6,$76.47M,2004,n/a,n/a,https://www.nasdaq.com/symbol/glu
GLU^A,The Gabelli Global Utility and Income Trust,43.6638,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/glu^a
GGO,The Gabelli Go Anywhere Trust,19.66,$31.66M,2016,n/a,n/a,https://www.nasdaq.com/symbol/ggo
GGO^A,The Gabelli Go Anywhere Trust,42.7575,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ggo^a
TMP,Tompkins Financial Corporation,89.83,$1.37B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/tmp
TAT,Transatlantic Petroleum Ltd,1.2,$60.46M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/tat
TRXC,"TransEnterix, Inc.",5.37,$1.1B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/trxc
TMQ,Trilogy Metals Inc.,1.78,$233.75M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/tmq
TPHS,Trinity Place Holdings Inc.,6.68,$211.34M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/tphs
TRT,Trio-Tech International,5.32,$18.9M,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/trt
UFAB,"Unique Fabricating, Inc.",8.56,$83.6M,2015,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/ufab
UAMY,United States Antimony Corporation,0.5337,$36.41M,n/a,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/uamy
UUU,"Universal Security Instruments, Inc.",1.3542,$3.13M,n/a,Consumer Non-Durables,Electronic Components,https://www.nasdaq.com/symbol/uuu
UQM,UQM Technologies Inc.,0.99,$53.6M,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/uqm
URG,Ur Energy Inc,0.7341,$107.7M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/urg
UEC,Uranium Energy Corp.,1.56,$250.22M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/uec
VHC,VirnetX Holding Corp,3.35,$205.84M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/vhc
VGZ,Vista Gold Corporation,0.615,$61.22M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/vgz
VNRX,VolitionRX Limited,1.93,$57.96M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/vnrx
VISI,"Volt Information Sciences, Inc.",3.85,$80.99M,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/visi
EAD,Wells Fargo Income Opportunities Fund,7.88,$543.34M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ead
ERC,Wells Fargo Multi-Sector Income Fund,12.52,$410.99M,2003,n/a,n/a,https://www.nasdaq.com/symbol/erc
ERH,Wells Fargo Utilities and High Income Fund,12.467,$115.25M,2004,n/a,n/a,https://www.nasdaq.com/symbol/erh
WRN,Western Copper and Gold Corporation,0.8001,$79.66M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/wrn
WYY,WidePoint Corporation,0.5389,$44.77M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/wyy
WTT,"Wireless Telecom Group,  Inc.",1.99,$41.75M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/wtt
XTNT,"Xtant Medical Holdings, Inc.",6.09,$80.05M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xtnt
YUMA,"Yuma Energy, Inc.",0.4589,$10.66M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/yuma
ZDGE,"Zedge, Inc.",3.25,$33.34M,2016,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/zdge
ZOM,Zomedica Pharmaceuticals Corp.,2.28,$215.49M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/zom
